Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Close
1999-05-04,-12.917990071544583,1.37532090780226,6.387418442452642,20.159106453298705,26.30630904858811,18.836875464393284,19.358586053113996,18.86412273673971,-3.6989028671232727,0.41466113978387686,17.96223683102894,1.1766447405894036,13.63128936255238,39.130114658935966,-1.3857935280877687
1999-05-05,-10.852072606571257,0.19551747082572973,2.1148411273084236,4.345284881546171,13.283478563758113,8.594669444249893,9.31397363097523,11.270993346642404,-4.852592927137803,2.078645444211562,0.6095616798955151,-0.035478057901663515,-1.156028995303775,-6.171409130737671,-1.4091451738477594
1999-05-06,-10.213734009981424,-0.01772788653791193,3.0808716218084693,1.407198351249798,12.525842851348049,4.6779170820698655,7.2741411548105015,9.88671167722421,-9.29105769720191,-2.051482802479561,0.7560282750462752,3.848465408931824,1.1290271299955905,-6.77432755181226,-1.4313838364914917
1999-05-07,-6.560069981125724,-3.6985630309363917,7.470917743463196,-2.6798413739926703,9.638499607242412,5.373207388233412,7.473297283232991,11.13501656643451,-9.980309471327802,0.05819234736134257,0.7509577210533444,0.44595134756127597,0.9380836833932016,-6.697003553060983,-1.3156755917634795
1999-05-10,-8.006508655385256,-2.1233684569365714,3.959522193076679,1.7911012783621443,11.614298107149269,4.153216371683165,8.187630251119998,9.957770518097313,-7.918658611103391,-1.2566047194559513,2.6456988543640634,0.03838037938410584,0.15847231402317932,-5.693716766816712,-1.3798716179220154
1999-05-11,-7.866227235162159,-2.193045295898999,4.365477914877548,0.5152125901031976,11.040276462164512,4.0971037795811815,7.9466087130347045,9.95308083011416,-7.966235423935876,-1.1185438694740577,1.9452860310673834,0.13696489075807392,0.4200093692639267,-6.331247323565924,-1.380984601038274
1999-05-12,-6.782218391939856,-3.255964999698722,5.795217682865185,-1.0432038322552901,10.028884605619446,4.076833948864544,7.764182376076301,10.13106550064401,-8.384106488433229,0.06929815573034401,1.4795954600182213,0.19592075033659262,0.6037772644748763,-6.295988506651763,-1.327372414324914
1999-05-13,-6.756464509889693,-3.1817851073137056,4.924776686233953,0.3101495481462262,10.498243223664767,4.023572028461776,7.801525144479058,9.638164800977425,-7.675959523499939,-0.003128781822872734,1.997997074384032,0.09556425935331413,0.43679051267686353,-5.63826184562076,-1.333147326720595
1999-05-14,-7.888512787428568,-1.9909397841466414,3.022471242788303,2.0178814146727495,10.986462693391168,3.7400831626763256,7.782461609534727,8.992311851455222,-6.920519388537454,-1.8736675335953752,2.4179842019117417,0.028288318823001344,0.2602331463420169,-5.904690116064494,-1.3891954764808607
1999-05-17,-8.280885775610598,-1.4152270686775787,3.3295199677011036,1.559289849810701,9.604130438867744,3.578852831362285,7.827162902775129,9.256804625958004,-7.709426031688448,-1.2444483440064362,1.941813465006698,-0.0025729543590722386,0.20969554166204304,-5.633149980981964,-1.4185740308137988
